"","id_sym","id_hip","tipo"
"1","HD 27534","20350","efectiva"
"2","HD 30869","22607","efectiva"
"3","HD 28608","21066","efectiva"
"4","HD 28363","20916","efectiva"
"5","HD 28069","20693","efectiva"
"6","HD 28911","21267","efectiva"
"7","HD 27524","20349","efectiva"
"8","HD 27732","20480","efectiva"
"9","HD 27771","20492","efectiva"
"10","HD 27561","20357","efectiva"
"11","HD 27685","20441","efectiva"
"12","HD 26345","19504","efectiva"
"13","HD 26784","19796","efectiva"
"14","HD 28406","20948","efectiva"
"15","HD 26756","19781","efectiva"
"16","HD 30738","22524","efectiva"
"17","HD 28033","20712","efectiva"
"18","HD 28394","20935","efectiva"
"19","HD 27731","20491","efectiva"
"20","HD 29225","21474","efectiva"
"21","HD 30810","22550","efectiva"
"22","HD 27848","20567","efectiva"
"23","HD 27808","20557","efectiva"
"24","HD 20439","15310","efectiva"
"25","LP 19-731","21008","estimada"
"26","LP 15-640","21053","estimada"
"27","* del Tau","20455","estimada"
"28","* 77 Tau","20885","estimada"
"29","HR 1201","18170","estimada"
"30","V* V897 Tau","20577","estimada"
"31","V* V1099 Tau","19877","estimada"
"32","V* V911 Tau","20741","estimada"
"33","V* V985 Tau","20082","estimada"
"34","V* V920 Tau","20899","estimada"
"35","V* V938 Tau","21317","estimada"
"36","* gam Tau","20205","estimada"
"37","* 101 Tau","23214","estimada"
"38","V* V984 Tau","19934","estimada"
"39","V* V993 Tau","20815","estimada"
"40","* 45 Tau","19554","estimada"
"41","NAME PHI 342","20661","estimada"
"42","* eps Tau","20889","estimada"
"43","HR 1279","19261","estimada"
"44","V* V921 Tau","20951","estimada"
"45","* 55 Tau","20215","estimada"
"46","V* V1116 Tau","21459","estimada"
"47","* 61 Ori","28614","estimada"
"48","LTT 10969","13834","estimada"
"49","HR 1436","21152","estimada"
"50","HR 1233","18658","estimada"
