Catalogo,Variable,desc,
Hipparcos,RA_J2000,Posicion en momento/grado 2000 que desconozco (enero 2000?),
Hipparcos,DE_J2000,Posicion en momento/grado 2000 que desconozco (enero 2000?),
Hipparcos,Plx,Paralaje,
Hipparcos,pmRA,Movimiento propio en RA,
Hipparcos,pmDE,Movimiento propio en DE,
Hipparcos,Vmag,Magnitud,
Hipparcos,B-V,Johnson BV colour,(temperatura?)
Tycho,TYCID1,Fraccion del nombre,
Tycho,TYCID2,Fraccion del nombre,
Tycho,TYCID3,Fraccion del nombre,
Tycho,RA_J2000_24,Posicion en momento/grado 2000 que desconozco (enero 2000?),
Tycho,DE_J2000,Posicion en momento/grado 2000 que desconozco (enero 2000?),
Tycho,pmRA,Movimiento propio en RA,
Tycho,pmDE,Movimiento propio en DE,
Tycho,BT,Magnitud BT,
Tycho,VT,Magnitud VT,
Tycho,V,Se calcula a partir de BT y VT,
Tycho,B-V,Se calcula a partir de BT y VT,
Tycho,HD,No encontre,
Tycho,HIP,Hipparcos number,
Tycho,Plx,Paralaje,
